,dep,cases,population
0,ANTIOQUIA,53169,6677930
1,VALLE,41584,4532152
2,SANTANDER,35841,2280908
3,SANTAFE DE BOGOTA D.C,27302,7743955
4,BOYACA,26355,1242731
5,CUNDINAMARCA,20675,3242999
6,HUILA,16134,1122622
7,ATLANTICO,14660,2722128
8,META,14244,1063454
9,BOLIVAR,14063,2180976
10,RISARALDA,13284,961055
11,TOLIMA,13013,1339998
12,CAUCA,12743,1491937
13,NARINO,12118,1627589
14,NORTE DE SANTANDER,11957,1620318
15,CORDOBA,10607,1828947
16,SUCRE,9131,949252
17,MAGDALENA,8868,1427026
18,CALDAS,8308,1018453
19,CASANARE,6092,435195
20,CESAR,4707,1295387
21,CAQUETA,4676,410521
22,QUINDIO,4490,555401
23,GUAJIRA,3772,965718
24,ARAUCA,3139,294206
25,PUTUMAYO,2277,359127
26,CHOCO,1427,544764
27,AMAZONAS,1299,79020
28,SAN ANDRES,1077,63692
29,GUAVIARE,825,86657
30,GUAINIA,483,50636
31,VAUPES,264,44712
32,VICHADA,259,112958
