,dep,population
0,Bogotá,7743955
1,Antioquia,6677930
2,Valle del Cauca,4532152
3,Cundinamarca,3242999
4,Atlántico,2722128
5,Santander,2280908
6,Bolívar,2180976
7,Nariño,1627589
8,Córdoba,1828947
9,Tolima,1339998
10,Cauca,1491937
11,Norte de Santander,1620318
12,Boyacá,1242731
13,Magdalena,1427026
14,Huila,1122622
15,Cesar,1295387
16,Caldas,1018453
17,Meta,1063454
18,La Guajira,965718
19,Risaralda,961055
20,Sucre,949252
21,Quindío,555401
22,Chocó,544764
23,Caquetá,410521
24,Casanare,435195
25,Putumayo,359127
26,Arauca,294206
27,Guaviare,86657
28,San Andrés y Providencia,63692
29,Amazonas,79020
30,Vichada,112958
31,Vaupés,44712
32,Guainía,50636
